RecordKey;LineNum;ItemCode;Quantity;ShipDate;U_STPREPA;U_u_prix_vte;BackOrder;U_NUMCAT;ShipToCode
RecordKey;LineNum;ItemCode;Quantity;ShipDate;U_STPREPA;U_u_prix_vte;BackOrder;U_NUMCAT;ShipToCode
1;0;406103.140;25;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;1;118203.220;50;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;2;125203;50;20190101;1;le cent;tYES;DP3;CIR CENTRE LOGISTIQUE
1;3;112103.100;25;20190101;1;le cent;tYES;DSP352;CIR CENTRE LOGISTIQUE
1;4;650000010;2;20190101;1;le cent;tYES;SMM63DG1/4I10B;CIR CENTRE LOGISTIQUE
1;5;7032501500;10;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;6;911110514;6;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;7;912112714;20;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;8;7020601500;3;20190101;1;le cent;tYES;;CIR CENTRE LOGISTIQUE
1;9;116203.190;25;20190101;1;le cent;tYES;319PP;CIR CENTRE LOGISTIQUE
